Название,Место,Описание,Теги
Чужих мужей не бывает,ДК им. Зуева,"У Элизабет дела идут совсем не плохо, а, скорее, наоборот — очень даже хорошо. Девушка живёт в самом центре Дублина в богатой квартире и встречается сразу с двумя, правда, в разные дни, женатыми мужчинами, ведь она уверена, что чужих мужей просто не существует. К тому же, это
отличный способ решить финансовые сложности.

Неожиданно приезжает подруга Элизабет — Аннет, и налаженная схема рушится. Квартира становится местом сбора всех: изменщиков-мужей, рассерженных жён, и, конечно же, главной героини и незадачливой Аннет. Как решить эту непростую ситуацию и распутать клубок?

В составе исполнителей возможны изменения без дополнительного уведомления.","['Спектакль', 'Комедия']"
Орган при свечах,Музей Пушкина,"Приглашаем вас на уникальный органный концерт, который пройдёт при свечах в концертном зале Государственного музея А.С. Пушкина. Это будет незабываемое путешествие в мир классической музыки, где каждая нота проникнет в самые глубины вашей души.

Талантливый органист выйдет на сцену, чтобы подарить вам чудесное исполнение известнейших органных шедевров разных эпох и композиторов.

Орган при свечах — это не только потрясающая музыка, но и особая атмосфера, которая позволит вам отключиться от суеты повседневности и погрузиться в мир гармонии и покоя. Красивые свечи, создающие нежное и тёплое освещение, добавят вечеру нотку загадочности и романтики.

Подарите себе и любимым удивительный музыкальный праздник, который принесет фейерверк эмоций и незабываемые впечатления!

Электронный орган: Viscount Sonus

Исполнитель на концерте 14 февраля:
Ольга Котлярова — одна из известнейших органистов Петербурга, выступающая на лучших концертных площадках России и Европы. Лауреат международных конкурсов. В настоящее время является членом Межрегионального союза концертных деятелей, Российского творческого Союза работников культуры, ведущим мастером сцены ГБУК «Петербург-концерт», членом жюри и председателем комиссий ряда международных конкурсов пианистов и органистов. Основная приглашённая солистка Мариинского театра. Активная участница международных органных фестивалей. Регулярно выступает на радио и телевидении.

Дополнительный исполнитель на концерте 14 февраля:
Регина Финенко (меццо-сопрано) — выпускница Краснодарского государственного института культуры, лауреат Всероссийских и международных фестивалей и конкурсов. Ведёт активную концертную деятельность в России.

Исполнитель на концерте 7 марта:
Анастасия Сидельникова (орган) — выпускница Московской государственной консерватории, стажировалась у Ханса Фагиуса (Швеция), Харальда Фогеля (Германия), Жана Гийу (Швейцария-Франция), Йона Лауквика (Норвегия) и других ведущих органистов Европы. Является лауреатом и дипломантом Международных фестивалей и конкурсов, солистка Московской государственной филармонии. Ведет активную концертную деятельность в России и за рубежом.

Дополнительный исполнитель на концерте 7 марта:
Евдокия Ионина (скрипка) — выпускница Московской государственной консерватории им. Чайковского (в классе профессора А. А. Мельникова). Работала в камерном оркестре МusicaViva. В качестве солистки и в составе различных камерных ансамблей выступает в залах Московской консерватории, в музее музыкальной культуры имени М. Глинки, а также в кафедральном соборе св. Петра и Павла. В настоящее время ведёт активную концертную деятельность.

Исполнитель на концерте 8 марта:
Сергей Буслов (орган) — выпускник Санкт-Петербургской государственной консерватории им. Римского-Корсакова. Лауреат международных и всероссийских конкурсов. Участник различных мастер-классов, образовательной программы Дягилевского фестиваля, приглашённый солист большого эстрадно-симфонического оркестра Санкт-Петербурга. Ведёт активную концертную деятельность на известных концертных площадках России.

Дополнительный исполнитель на концерте 8 марта в 17:00:
Анна Кодинец (сопрано) — выпускница РАМ им. Гнесиных, проходила стажировку в Пармской Консерватории им. Арриго Бойто по классу оперного пения у маэстро Маурицио Леони (Парма, Италия). Солистка Московского государственного академического музыкального театра им. Сац. Лауреат Международных и Всероссийских конкурсов. В настоящее время ведёт активную концертную деятельность.

Дополнительный исполнитель 8 марта 17-00:
Наталья Унанова (скрипка) — выпускница государственной классической Академии им. Маймонида по специальности струнные оркестровые инструменты. Выступает сольно и в составе квартетов «Capriccio» и «Glass house». Приглашенная артистка Московского государственного симфонического оркестра. В настоящее время ведет активную концертную деятельность.

Дополнительный исполнитель на концерте 8 марта в 19:00:
Владислав Бирюков (баритон) — солист Воронежской государственной Филармонии. Выпускник Московской государственной консерваторию им. Чайковского. Солист Нижегородского государственного академического театра оперы и балета им. А. С. Пушкина. Лауреат 1 степени Второго Международного конкурса Алисы Гицба. Обладатель специального приза «сольный концерт» в Московском музыкальном театре «Геликон-опера».

Дополнительные исполнители 8 марта 19-00:
Струнное трио Capriccio — женский коллектив виртуозов, призер многочисленных международных фестивалей и конкурсов, выступающий на известных и популярных сценах России и Европы.
Унанова Наталья (скрипка)
Ефремова Надежда (альт)
Зозуля Ольга (виолончель)
Надежда Таламанова (художественное слово)

Аиза Фазлиева (лирическое сопрано) — выпускница Центра оперного пения им. Галины Вишневской. Лауреат I степени второго Всероссийского конкурса и второго Международного конкурса(г. Москва) Лауреат I степени XXVI Международного конкурса молодых музыкантов им. Д.Б. Кабалевского. (г. Самара). Участница международных музыкальных фестивалей, стипендиат Фонда культурно-музыкального наследия Муслима Магомаева.

Исполнитель на концерте 15 марта:
Мария Макаренко (орган) — выпускница Нижегородской государственной консерватории им. Глинки, выпускница Российской Академии Музыки им. Гнесиных. Лауреат Второго международного конкурса органистов им. Валерия Григорьевича Кикты (2006), обладатель специального приза на Международном фестивале-конкурсе молодых органистов Soli Deo Gloria (2008). Победительница Всероссийского открытого конкурса фортепианных дуэтов им. Александра Георгиевича Бахчиева (I премия, 2013). Лауреат Международного конкурса фортепианных дуэтов в Монако (II премия, 2013). Первая российская органистка, которая удостоилась чести играть на процессии у Папы Римского Бенедикта XVI в Ватикане (октябрь, 2009) и других. Принимала участие в мастер-классах у всемирно известных органистов: Томаса Троттера, Кристофера Херрика, Грэма Барбера, Майкла Бейкера (Великобритания), Людгера Ломанна, Юна Лауквика, Вольфганга Церера (Германия), Оливье Латри (Франция) и других.

Дополнительный исполнитель на концерте 15 марта:
Владислав Светлов (саксофон) — современный джазовый и классический саксофонист, импровизатор. Выпускник Академии Музыки в Минске. Стипендиат президентского фонда Республики Беларусь. С 2017 является солистом центрального военного оркестра министерства обороны Российской Федерации. Постоянный участник международного музыкального фестиваля «Спасская башня». Является солистом джазового оркестра Cool Groove Big Band (Москва).

Исполнитель на концерте 22 марта:
Юлия Иконникова (орган) — выпускница Московской государственной консерватории. Стажировалась у выдающихся органистов Европы и Америки: Л. Рогга, Ж. Гийю, О. Портана, Г. Роста, Х. Майстера, В. Церера, Д. Кристи и других. Лауреат и дипломант российских и международных конкурсов. Член жюри Первого Московского конкурса молодых органистов им. Бидлоо, 2007, Конкурса юных музыкантов «Жмеринский камертон», 2012, II-го Международного конкурса юных музыкантов «Подольский водограй». Участник международных органных фестивалей. Является органисткой органного зала им. Янченко (Щапово), художественным руководителем и органисткой ЦКиД «Факел» г. Фрязино, органисткой КПЦ «Дубровицы». Ведёт активную концертную деятельность в России и за рубежом, выступая с сольными программами и в ансамблях.

Дополнительный исполнитель на концерте 22 марта:
Регина Финенко (меццо-сопрано) — выпускница Краснодарского государственного института культуры, лауреат Всероссийских и международных фестивалей и конкурсов. Ведет активную концертную деятельность в России.

Исполнитель на концерте 29 марта:
Софья Иглицкая (орган) — выпускница Московской государственной консерватории им. Чайковского. Окончила магистратуру Высшей школы музыки г. Любек (класс проф. А. Гаста), аспирантуру (Konzertexamen) Высшей школы музыки в Штутгарте (класс проф. Л. Ломанна). Принимала участие в мастер-классах профессоров Й. Труммера, Г. Роста, Ж. ван Оотмерсена, Л. Ломанна, П. Дирксена, Т. Копмана, Б. Хааса, Й. Лауквика, С. Черепанова, В. Церера, А. Гаста, М. Радулеску, Л. Робьяра, К. Манту и других. Лауреат Международного фестиваля-конкурса органной музыки «Гатчина — Санкт-Петербург». Участница Московских международных органных фестивалей: «Органные вечера в Кусково», Международного фестиваля им. Ройзмана. С 2023 года одновременно является солисткой-органисткой Ярославской филармонии.

Дополнительный исполнитель на концерте 29 марта:
Аиза Фазлиева (лирическое сопрано) — выпускница Центра оперного пения им. Галины Вишневской. Лауреат I степени второго Всероссийского конкурса и второго Международного конкурса(г. Москва) Лауреат I степени XXVI Международного конкурса молодых музыкантов им. Кабалевского (г. Самара). Участница международных музыкальных фестивалей, стипендиат Фонда культурно-музыкального наследия Муслима Магомаева.

Исполнитель на концерте 31 марта:
Мария Моисеева (орган) — выпускница Московской государственной консерваторию им. Чайковского. Доцент Московской государственной консерватории им. Чайковского. Лауреат Международного (2010, Конкурс им. А. Каппа, Сууре-Яани, Эстония) и Всероссийского (2007, Soli Deo Gloria, Москва) конкурсов органистов. Обладатель премии им. Андреса Сеговии — Хосе Мигеля Руиса Моралеса в категории «Орган» (2008, Сантьяго-де- Компостела, Испания).

Дополнительные исполнители на концерте 31 марта:
Антон Котиков (мультиинструменталист) — мультиинструменталист, композитор, аранжировщик. Лауреат и победитель международных и всероссийских конкурсов. I премия международного конкурса Marettimo Jazz Festival (Италия) 2015. II премия Всероссийского конкурса «Наш Джаз», 2020. Лауреат международного конкурса дудукистов International Music Festival of AWYAR.

Мария Кулакова (арфа) — выпускница аспирантуры Московской государственной консерватории им. Чайковского, лауреат международных фестивалей и конкурсов. Участница музыкальных проектов: «Арфа и джаз» (Harp & Jazz) джазовый ансамбль с классической арфой Take Harp (дуэт арф), Музыкально-театральный проект актрисы театра и кино Ингеборги Любомирской. Лауреат и победитель международного джазового фестиваля Marettimo Jazz Festival 2015 в составе дуэта «Арфа и джаз» (Италия, о. Сицилия). Участница New Orleans Jazz & Pop Harp Weekends, New Orleans (USA) 2016. Somerset Folk Harp Festival, Parsippany New Jersey (USA) 2019.

Продолжительность концерта: 1 час 5 минут (без антракта).

Вход в концертный зал с Хрущёвского переулка!

Билеты приобретаются на каждого зрителя вне зависимости от возраста.","['Концерт', 'Классическая музыка']"
Лесоповал,Академ Джаз Клуб,"«Лесоповал» — музыкальный коллектив, исполняющий песни в стиле русский шансон. Группа была создана в 1990 году Михаилом Таничем и Сергеем Коржуковым. После участия в войне и ранения Танич в 1947 году оказался в тюрьме по ложному доносу, был осуждён на шесть лет и вышел по амнистии в 1953 году. Тематика песен коллектива совпадает с теми временами. Никто из участников группы в тюрьме не был, и все истории, которые поются «Лесоповалом», были написаны непосредственно Михаилом Таничем. Сергей Коржуков был первым солистом и композитором группы. Он написал музыку более чем к 60 песням группы.

За время своего существования коллектив претерпевал несколько изменений в своём составе. После смерти Сергея Коржукова в 1994 году группа некоторое время не работала, но с приходом новых музыкантов «Лесоповал» был реанимирован. В 2008 году не стало главного идеолога группы — Михаила Танича. Состав вновь был обновлён. Художественным руководителем стала супруга Танича — Лидия Николаевна Козлова-Танич.

За время существования группы было издано более 20 альбомов, в том числе два после смерти Михаила Танича. Преимущественно песни исполняются под звуки гитары, аккордеона, барабана.","['Концерт', 'Шансон']"
Сказка о царе Салтане,в 2 местах,"Песочное шоу при свечах «Сказка о царе Салтане».

Отличный подарок для детей и взрослых! Ажиотажное представление уже посмотрели тысячи детей в лучших залах страны — Московский международный дом музыки, театр им. Вахтангова, Государственный Кремлёвский дворец. Это интересно, увлекательно и красочно!

Песочные, яркие картины оживут прямо на глазах юных зрителей. Настоящее чудо! Виртуозная, нескучная классика прозвучит в игре известного струнного квартета «Мелодион». Лауреатов престижных музыкальных конкурсов. А харизма актёра Алексея Жирова оживит образы пушкинских персонажей.

Бессмертная «Сказка о царе Салтане» предстанет в новом прочтении: в слове, музыке и песке. Детям будет точно интересно! Они получат супер эмоции и проведут время с пользой! Подарите ребенку радость!

Исполнители:
Лауреат международного телевизионного конкурса канала «Россия-Культура» Квартет 4×4 (2-й сезон). Лучший струнный квартет проекта;
Струнный квартет «Мелодион» под руководством Натальи Тупиковой-Мороз — альт;
Агафия Григорьева — скрипка;
Снежана Пащенко — скрипка;
Савва Григорьев — виолончель;
Художник по песку — Алла Филиппова;
Игровое чтение — Алексей Жиров;
Автор проекта Наталья Тупикова-Мороз.

Программа:
Марш из музыки к балету «Щелкунчик»;
Andante Non Troppo — I часть из cеренады для струнного оркестра до мажор, соч. 48;
Andante Cantabile — II часть из Квартета № 1 ре мажор, соч. 11;
Вальс и Мазурка из «Детского альбома»;
Китайский танец из музыки балета «Щелкунчик»;
Марш деревянных солдатиков из «Детского альбома»;
Сладкая греза из «Детского альбома»;
Русский танец из музыки балета «Лебединое озеро»;
Трепак из музыки балета «Щелкунчик»;
Вальс цветов из музыки балета «Щелкунчик».","['Концерт', 'Литературные чтения', 'Песочное шоу', 'Классическая музыка', 'Детям']"
VR Gallery 2.0,Марс,"Центр М`АРС совместно с компанией «VR-vision» презентуют проект VR GALLERY 2.0, позволяющий с помощью новейших технологий оказаться в мастерских легендарных художников, знаменитых музейных пространствах и галереях.

Авторы проекта предлагают зрителю фантастическое перемещение из одной творческой вселенной в другую, из одного зала в другой, дав возможность не только созерцать искусство величайших мастеров, но и с помощью интерактивных VR технологий изменить матрицу восприятия: зритель станет героем картин, шагнёт вглубь художественной реальности и начнёт взаимодействовать с ней.

Надев VR-очки, вы перенесётесь в сердце Ватикана и окажетесь под сводами Сикстинской капеллы, чтобы детально рассмотреть знаменитые фрески Микеланджело, такие как «Сотворение Адама» и «Страшный суд». Полное погружение и уникальные ракурсы позволят вам ощутить величие шедевров мирового искусства. Проект является виртуальным гидом по знаменитым сокровищницам мирового искусства, включая грандиозные Лувр, Оранжери и другие национальные музеи. Вас ждут мистика портретной живописи, тайны сюрреализма, загадки импрессионизма — все то удивительное и прекрасное, что является лучшими образцами изобразительного искусства разных времен.

Отдельный раздел VR Gallery посвящен новейшим цифровым направлениям в искусстве и представлен в виде Метавселенной, где собраны двойники шедевров, идентичные физическим аналогам. Яркие эмоции, новый чувственный опыт и незабываемые впечатления— все это ждет вас в Центре М’АРС на проекте VR Gallery 2.0!","['Выставка', 'Современное искусство']"
Вредные привычки,в 3 местах,"Вредные привычки — это история о людях, которые пытаются изменить свои жизни, но не могут преодолеть свои вредные привычки. Они хотят быть лучше, но их привычки не позволяют им это сделать. В этом спектакле вы увидите, как герои пытаются преодолеть свои зависимости и найти счастье.

Спектакль «Вредные привычки» — это сатирическая комедия, которая будет развлекать и заставлять задуматься над своими привычками. Вы будете смеяться над героями, которые пытаются изменить свои жизни, но не могут преодолеть свои зависимости.

В состав исполнителей могут быть внесены изменения без дополнительного уведомления.","['Спектакль', 'Комедия']"
Загадочное ночное убийство собаки,Современник,"На сцене театра – детектив, психологический триллер, антропологическое исследование. В основе спектакля – роман Марка Хэддона, национальный бестселлер Великобритании. Он известен в России под названием «Что случилось с собакой однажды ночью». «Современнику», оформившему права на постановку в переводе Ольги Буховой, показалось правильным использовать для названия спектакля дословный перевод с английского – «Загадочное ночное убийство собаки».

Подросток-аутист — главный герой этой истории. Его более точный диагноз — синдром Аспергера. Собственно, история и написана от лица этого мальчика. Не мы смотрим на него, а он на нас. Мальчик пытается соответствовать законам, по которым существует обычный человек. При этом постоянно сжимает в кармане армейский нож — с нами, видимо, по-другому нельзя.

Подросток умнее большинства из нас, обычных взрослых, но у аутистов практически отсутствует воображение, а как следствие — полностью отсутствует интуиция. Он многое знает, но ничего не может представить и предвидеть — может только вспомнить то, что он читал или видел, и в соответствии с этим пытаться выработать для себя алгоритм, чтобы действовать как обычный человек. Что такое для аутиста дойти до вокзала, купить билет, сесть в поезд и доехать до Лондона, а потом в гигантском городе отыскать свою мать, — да это то же самое, что для нас слетать в космос. Кстати, полёт в космос как раз и является мечтой Кристофера Буна.

Ребёнок с отсутствующим воображением (а значит, не способный оправдывать и учитывать смягчающие обстоятельства) смотрит на нас и оценивает, насколько мы опасны, — потому что от этого зависит его собственное существование.

К сожалению, итог его наблюдений неутешителен. То, что для нас является частью ежедневного ритуала, — ложь, гнев, предательство, — для него не подлежит оправданию. Хотя он и не судья, а всего лишь слабый организм, пытающийся выжить среди нас.

В состав исполнителей могут быть внесены изменения без дополнительного уведомления.","['Спектакль', 'Драма', 'Детектив']"
Светлана Безродная и «Вивальди-оркестр»,в 2 местах,"Новая программа «Вивальди-оркестра» под руководством Светланы Безродной, которую поклонникам этого уникального единственного в мире женского коллектива предстоит услышать, не совсем обычна по форме. Первое отделение представляет музыку, которая отражает различные танцевальные направления и жанры в мировом музыкальном пространстве. Здесь прозвучат как произведения композиторов-классиков, так и мастеров менее именитых, но занимающих все же свое определенное место в летописи танцевальной музыки.

Будут исполнены, в частности, полонез из оперы «Евгений Онегин» и вальс из балета «Спящая красавица» П. И. Чайковского. Отблески гениальных творений Петра Ильича Чайковского в этой программе не ограничиваются лишь только что упомянутыми произведениями. Прозвучит фокстрот великого джазмена ХХ века Дюка Эллингтона на тему увертюры к балету «Щелкунчик». Прозвучат также два фокстрота на тему Пятой и Шестой симфоний П. И. Чайковского. Фокстроты эти — плод творческих исканий другого великого джазмена, Глена Миллера.

Также будут представлены две польки Иоганна Штрауса-сына: «Трик-трак» и «Под гром и молнии». Предстоит встретиться и с пасодоблем. Речь о пьесе композитора Джо Алекса «Хорошенькая девушка» из репертуара знаменитого танцевального оркестра начала ХХ века под управлением Марека Вебера. Кроме того, публике предстоит встретиться и с милонгой. Это будет уже полюбившийся слушателям и зрителям шлягер «Вивальди-оркестра» «Далеко в поле». Незадолго до финала тех, кто придет в этот вечер в зал, ждет особая премьера. Речь о только что вошедшем в репертуар произведении немецкого композитора прошлого века Герхарда Винклера, которое называется «На празднике румынских цыган». И пьеса эта тоже представляет определенный танцевальный жанр — галоп.

Второе отделение особенно важно для нас, ибо представляет собой своего рода мост между поколениями, который объединяет людей самых разных возрастов в единое духовное пространство. Прозвучат песни и инструментальные пьесы, которые пели и под которые танцевали наши дедушки и бабушки, и даже прадедушки и прабабушки, которые они любили, а посему, которые так дороги сегодня нам с вами. Здесь будут исполнены «Расцвела сирень-черемуха в саду» Ю. Милютина, «Моя мечта» А. Цфасмана, «Сормовская лирическая» Б. Мокроусова, «Мишка» из репертуара П. Рудакова и В. Нечаева. Ну, а в финале, конечно же, — «Брызги шампанского» и «Рио-рита».","['Концерт', 'Классическая музыка']"
ОТТА-Orchestra,Академ Джаз Клуб,"ОТТА-orchestra — российская инструментальная группа, которая исполняет авторскую музыку вне стиля и времени. Их композиции входят в топ лучших инструментальных треков, а клипы имеют миллионные просмотры на платформе YouTube. «Royal Safari» в исполнении ОТТА-orchestra набрал более 30-ти миллионов просмотров.

Группа выпустила четыре альбома и четыре сингла. Автор музыки — композитор Ли Отта.

С ОТТА-orchestra сотрудничали мировые поп-звезды — Пупо, Ф. Дэвид, а также знаменитые российские артисты — Илья Резник, Лев Лещенко, ДиДюЛя и другие. За годы своего существования группа ОТТА-orchestra посетила с сольными концертами города России, а также Китай. Группа удостоена наград от компании Yamaha.

С ОТТА-orchestra сотрудничали мировые поп-звезды: Пупо, Ф. Дэвид, а также российские звезды — Лев Лещенко, Илья Резник, Денис Майданов, Зара, Кай Метов, Ярослав Сумишевский, Юта, ДиДюЛя и другие.

В составе ОТТА-orchestra — яркие девушки, которые играют на таких инструментах, как скрипки и клавишные, барабаны и перкуссия, гитара и аккордеон, белорусские цимбалы и индийский ситар, китайская хулуси — инструменты представлены как герои музыкального театра, с которым группа выступает на сцене.","['Концерт', 'Поп']"
Мужчина с доставкой на дом,ЦДКЖ,"История разворачивается в доме главной героини по имени Лиза. Ее жизнь протекает спокойно и размеренно, пока вновь на пороге дома не появляется бывшая подруга — взбалмошная и непредсказуемая в своих поступках интриганка Марго, которая везде преследует свои интересы и пытается решить свою судьбу. Дом Лизы превращается в настоящий балаган, но именно это обстоятельство наилучшим образом устраивает судьбы героев. Как сказал классик: «Всем правит случай. Знать бы еще, кто правит этим случаем...»

Веселая комедия, в основу которой легла знаменитая пьеса писателя и драматурга Валерия Мухарьямова «Привет, Марго!», подарит массу ярких впечатлений и приведет в невероятный восторг! А диалоги, наполненные искрометным юмором, развеселят даже самого грустного зрителя!

В состав исполнителей могут быть внесены изменения без дополнительного уведомления.","['Спектакль', 'Комедия']"
Московский стендап в Депо,в 2 местах,"Настоящий топовый московский стендап в легендарном Депо на Белорусской.

Выступают лучшие комики с шоу StandUp ТНТ, «Женский Стендап» ТНТ, Labelcom, StandUp Club #1 и других популярных проектов.

На концерте будут 3 комика + ведущий. Состав скрыт! Комики на афише — это отображение примерных составов из пула тех, кто тут выступает. Наши составы — это всегда профессиональные комики.

Мероприятие пройдет в самом сердце культового Депо на Лесной. На первой антресоли создан уютный уголок «Lounge Depo», скрытый от шума и посторонних глаз основного зала фудмолла красными шторами.

Уединенная атмосфера, вкусные бар и кухня от ресторана — все, что нужно, для классного комедийного вечера!
Размещение за столиками. Весь вечер можно заказывать еду и напитки по меню. Приносить с собой и/или из других заведений «Депо» нельзя.

Рассадка осуществляется администратором по факту прихода. Если вы покупали билет на мероприятие со схемой зала, рассадка будет осуществляться строго по местам указанным в билетах. Если вы приобретали билет на мероприятие без схемы, то рассадка будет осуществляться исходя из категории вашего билета.
Если человек в сильном алкогольном опьянении, его могут не пустить.

Почему скрыт состав.
Мы гордимся тем, что каждую неделю вы доверяете нашим закрытым лайн-апам. Благодаря многолетнему опыту организации стендап-мероприятий, мы тщательно собираем составы на концерты. Список комиков держится в секрете не только для того, чтобы сделать вам приятный сюрприз на концерте: стендаперы «не светят» лишний раз лица на афишах, а гости, зачастую, получают возможность увидеть очень известных комиков не за космические деньги.

Продолжительность мероприятия: 1,5–2 часа.

Импровизационное общение с залом.

Розыгрыш бесплатных напитков.

Если хотите задать вопрос или уточнить не повторится ли кто-то из комиков при посещении наших мероприятий снова — звоните по номеру +7 (926) 851-85-89 или пишите в Telegram @standupmoskvich
Частично составы открываются в нашем t.me/standup_msk Telegram канале в день мероприятия

Мероприятие строго 18+","['Стендап', 'Шоу', 'Юмор']"
